map_date,island,site,tag_num,species,multitrunk,dbh,leaning,dbh_canopy_meas,canopy_N-S,canopy_E-W,crown_meas_dt,who,total_dbh_multisum,total_dbh_multiavg,total_dbh_multilgst,canopy_radius,change in dbh
17-Nov-10,saipan,mtr1,8098,eugenia,no,140,n,8,1.3,0.91,19-May-11,MC_JD,8,8,8,0.5525,-132
3-Nov-09,saipan,ladt,7305,aidia,no,8,n,9,1.13,0.89,19-May-11,MC_JD,9,9,9,0.505,1
11/4/09,saipan,ladt,7487,eugenia,no,10,n,9,1.13,0.93,19-May-11,MC_JD,9,9,9,0.515,-1
1-Oct-09,guam,sblas ,3373,morinda,no,81,y,9,3.2,2.57,14-Jul-11,jonnie-annette,9,9,9,1.4425,-72
11/13/09,saipan,mtr1,7945,eugenia,no,10,n,10,1.05,1.02,19-May-11,MC_JD,10,10,10,0.5175,0
11/10/09,saipan,mtr1,7878,aidia,no,10,y,11,0.7,2.17,19-May-11,MC_JD,11,11,11,0.7175,1
23-Oct-09,saipan,forbs,1993,eugenia,no,11,n,12,1.13,1.25,29-Apr-11,MC_JD,12,12,12,0.595,1
10/5/09,guam,nblas,3680,maytenus,no,17,n,15,0.5,0.55,15-Jul-11,jd-ap-mg,15,15,15,0.2625,-2
4-Nov-09,saipan,ladt,7450,eugenia,no,20,n,15,1.35,1.57,19-May-11,MC_JD,15,15,15,0.73,-5
31-Jul,guam,nblas,143,aidia,no,16,n,20,2.01,1.79,15-Jul-11,jd-ap-mg,20,20,20,0.95,4
26-Oct-09,saipan,forbs,7008,eugenia,no,29,n,30,2.99,3.29,29-Apr-11,MC_JD,30,30,30,1.57,1
19-Nov-09,saipan,mtr1,8245,cyno,no,298,n,31,8.08,8.87,19-May-11,MC_JD,31,31,31,4.2375,-267
24-Nov-09,saipan,mtr1,8549,eugenia,no,40,n,36,2.93,2.59,19-May-11,MC_JD,36,36,36,1.38,-4
2-Oct-09,guam,sblas ,3593,maytenus,no,36,y,38,4.05,1.4,14-Jul-11,jonnie-annette,38,38,38,1.3625,2
12-Nov-09,saipan,mtr1,7907,guamia,no,40,n,38,3.12,2.62,19-May-11,MC_JD,38,38,38,1.435,-2
9-Nov-09,saipan,ladt,7609,eugenia,no,45,n,38,3.19,2.32,19-May-11,MC_JD,38,38,38,1.3775,-7
missing,saipan,ladt,2461,guamia,no,40,n,39,3.22,3.53,19-May-11,MC_JD,39,39,39,1.6875,-1
missing,saipan,ladt,2679,aidia,no,40,n,40,1.8,2.48,19-May-11,MC_JD,40,40,40,1.07,0
11/10/09,saipan,mtr1,7880,cyno,no,40,n,40,4.27,2.11,19-May-11,MC_JD,40,40,40,1.595,0
31-Jul,guam,nblas,145,cyno,no,40,n,40,2.09,2.15,15-Jul-11,jd-ap-mg,40,40,40,1.06,0
31-Jul,guam,nblas,135,eugenia,no,40,n,40,2.74,2.34,15-Jul-11,jd-ap-mg,40,40,40,1.27,0
10/20/09,saipan,forbs,1972,guamia,no,40,n,41,2.36,2.87,29-Apr-11,MC_JD,41,41,41,1.3075,1
16-Oct,guam,anao,1494,neiso,no,40,n,41,2.51,1.56,14-Jul-11,jonnie-annette,41,41,41,1.0175,1
12-Aug-09,saipan,forbs,2083,aglaia,no,40,n,42,2.63,2.91,29-Apr-11,MC_JD,42,42,42,1.385,2
17-Nov-10,saipan,mtr1,8094,aidia,no,40,n,42,1.81,2.08,19-May-11,MC_JD,42,42,42,0.9725,2
10/20/09,saipan,forbs,1896,cyno,no,40,n,42,4.81,3.65,25-Apr-11,MC_JD,42,42,42,2.115,2
10/26/09,saipan,forbs,7002,melano,no,43,n,44,6.93,1.31,29-Apr-11,MC_JD,44,44,44,2.06,1
24-Jul-09,guam,nblas,33,aglaia,no,40,n,45,1.12,2.02,15-Jul-11,jd-ap-mg,45,45,45,0.785,5
9-Nov-09,saipan,ladt,7685,leucaena,no,41,y,45,3.32,3.79,19-May-11,MC_JD,45,45,45,1.7775,4
10/8/09,guam,nblas,3964,neiso,no,42,n,45,2.08,0.86,15-Jul-11,jd-ap-mg,45,45,45,0.735,3
24-Sep-09,guam,sblas ,871,guamia,no,40,n,46,2.21,3.04,14-Jul-11,jonnie-annette,46,46,46,1.3125,6
24-Aug-09,guam,nblas,285,eugenia,no,54,n,46,3,2.85,15-Jul-11,jd-ap-mg,46,46,46,1.4625,-8
22-Sep-09,guam,sblas ,857,cyno,no,45,n,47,1.82,2.21,14-Jul-11,jonnie-annette,47,47,47,1.0075,2
6-Oct-09,guam,nblas,3852,psychotria,no,47,n,47,2.56,2.57,15-Jul-11,jd-ap-mg,47,47,47,1.2825,0
19-Nov-09,saipan,mtr1,8284,aglaia,no,42,n,48,2.98,2.29,19-May-11,MC_JD,48,48,48,1.3175,6
11/10/09,saipan,mtr1,7871,premna,no,45,n,48,2.41,1.9,19-May-11,MC_JD,48,48,48,1.0775,3
10/20/09,saipan,forbs,1934,maytenus,no,41,n,49,3.01,2.57,29-Apr-11,MC_JD,49,49,49,1.395,8
9-Nov-09,saipan,ladt,7619,aidia,no,50,n,49,4.59,3.03,19-May-11,MC_JD,49,49,49,1.905,-1
24-Aug-09,guam,nblas,309,maytenus,no,49,y,50,2.5,2.53,15-Jul-11,jd-ap-mg,50,50,50,1.2575,1
3-Nov-09,saipan,ladt,7326,psychotria,no,42,n,51,1.7,1.18,19-May-11,MC_JD,51,51,51,0.72,9
3-Aug,guam,nblas,194,cyno,no,57,n,54,2.92,1.68,15-Jul-11,jd-ap-mg,54,54,54,1.15,-3
17-Nov-10,saipan,mtr1,8081,guamia,no,54,n,55,3.78,3.5,19-May-11,MC_JD,55,55,55,1.82,1
23-Oct-09,saipan,forbs,2905,neiso,no,50,n,57,2.7,2.8,29-Apr-11,MC_JD,57,57,57,1.375,7
23-Oct-09,saipan,forbs,2971,leucaena,no,50,n,58,1.96,2.53,29-Apr-11,MC_JD,58,58,58,1.1225,8
9-Oct-09,guam,nblas,1018,premna,no,55,n,58,2.78,2.12,15-Jul-11,jd-ap-mg,58,58,58,1.225,3
4-Aug,guam,nblas,239,guamia,no,40,n,59,4.24,2.57,15-Jul-11,jd-ap-mg,59,59,59,1.7025,19
20-Nov-09,saipan,mtr1,8504,morinda,no,56,y,59,2.34,2.43,19-May-11,MC_JD,59,59,59,1.1925,3
4-Nov-09,saipan,ladt,7445,premna,no,57,n,59,1.51,2.69,19-May-11,MC_JD,59,59,59,1.05,2
3-Nov-09,saipan,ladt,7304,aglaia,no,54,n,60,2.49,3.1,19-May-11,MC_JD,60,60,60,1.3975,6
12-Oct-09,guam,anao,805,neiso,no,64,n,60,3.21,2.97,14-Jul-11,jonnie-annette,60,60,60,1.545,-4
11/10/09,saipan,mtr1,7855,leucaena,no,48,n,61,1.33,1.48,19-May-11,MC_JD,61,61,61,0.7025,13
25-Nov-09,saipan,mtr1,8603,cyno,no,59,n,61,3.53,4.16,19-May-11,MC_JD,61,61,61,1.9225,2
16-Sep-09,guam,anao,777,triphasia,no,56,n,62,1.53,1.69,14-Jul-11,jonnie-annette,62,62,62,0.805,6
11/13/09,saipan,mtr1,7921,neiso,no,57,n,62,2.66,3.44,19-May-11,MC_JD,62,62,62,1.525,5
missing,saipan,ladt,2496,neiso,no,52,n,63,2.49,2.48,19-May-11,MC_JD,63,63,63,1.2425,11
9-Oct,guam,nblas,3989,guamia,no,58,n,63,2.16,2.39,15-Jul-11,jd-ap-mg,63,63,63,1.1375,5
11/9/09,saipan,ladt,7739,cyno,no,61,n,63,2.34,1.68,19-May-11,MC_JD,63,63,63,1.005,2
11/4/09,saipan,ladt,7386,guamia,no,62,n,63,4.22,4.44,19-May-11,MC_JD,63,63,63,2.165,1
28-Sep-09,guam,sblas ,3119,psychotria,no,72,n,63,1.58,1.38,14-Jul-11,jonnie-annette,63,63,63,0.74,-9
4-Aug-09,saipan,forbs,2058,guamia,no,66,n,65,5.47,4.99,29-Apr-11,MC_JD,65,65,65,2.615,-1
28-Sep-09,guam,sblas ,3227,psychotria,no,65,y,68,3.8,2.25,14-Jul-11,jonnie-annette,68,68,68,1.5125,3
10/8/09,guam,nblas,3934,aglaia,no,66,n,68,3.1,2.84,15-Jul-11,jd-ap-mg,68,68,68,1.485,2
4-Aug,guam,nblas,205,neiso,no,60,n,73,4.26,4.13,15-Jul-11,jd-ap-mg,73,73,73,2.0975,13
4-Aug,guam,nblas,216,psychotria,no,68,n,73,1.64,2.13,15-Jul-11,jd-ap-mg,73,73,73,0.9425,5
23-Oct-09,saipan,forbs,1990,psychotria,no,73,n,76,3.29,2,29-Apr-11,MC_JD,76,76,76,1.3225,3
25-Nov-09,saipan,mtr1,8655,aidia,no,73+51,n,76,3.85,4.08,19-May-11,MC_JD,76,76,76,1.9825,#VALUE!
11/4/09,saipan,ladt,7376,aglaia,no,75,n,78,2.48,2.23,19-May-11,MC_JD,78,78,78,1.1775,3
23-Oct-09,saipan,forbs,2294,cyno,no,78,n,78,3.04,2.89,29-Apr-11,MC_JD,78,78,78,1.4825,0
3-Nov-09,saipan,ladt,7312,psychotria,no,78,n,79,3.7,2.87,19-May-11,MC_JD,79,79,79,1.6425,1
22-Sep-09,guam,sblas ,845,cyno,no,80,y,80,3.5,2.47,14-Jul-11,jonnie-annette,80,80,80,1.4925,0
17-Nov-10,saipan,mtr1,8092,morinda,no,81,n,81,3.35,1.95,19-May-11,MC_JD,81,81,81,1.325,0
10-Sep-09,saipan,forbs,2272,papaya,no,57,n,87,1.82,2,29-Apr-11,MC_JD,87,87,87,0.955,30
25-Nov-09,saipan,mtr1,8645,psychotria,no,82,n,87,2.41,2.15,19-May-11,MC_JD,87,87,87,1.14,5
10/30/09,saipan,ladt,7077,morinda,no,85,n,87,2.99,2.46,19-May-11,MC_JD,87,87,87,1.3625,2
25-Nov-09,saipan,mtr1,8667,aidia,no,83,n,88,2.82,4.07,19-May-11,MC_JD,88,88,88,1.7225,5
23-Oct-09,saipan,forbs,2968,leucaena,no,86,n,88,7.39,2.78,29-Apr-11,MC_JD,88,88,88,2.5425,2
28-Sep-09,guam,sblas ,3120,psychotria,no,86,n,88,1.71,1.67,14-Jul-11,jonnie-annette,88,88,88,0.845,2
11/13/09,saipan,mtr1,7916,aglaia,no,82,n,89,3.25,2.84,19-May-11,MC_JD,89,89,89,1.5225,7
10/23/09,saipan,forbs,2911,aglaia,no,85,n,89,4.16,3.16,29-Apr-11,MC_JD,89,89,89,1.83,4
23-Sep-09,guam,sblas ,983,guamia,no,87,n,89,4.32,4.05,14-Jul-11,jonnie-annette,89,89,89,2.0925,2
30-Oct-09,saipan,ladt,7158,melano,no,85,n,90,3.06,2.93,19-May-11,MC_JD,90,90,90,1.4975,5
22-Sep-09,guam,sblas ,921,psychotria,no,95,n,93,0.38,0.72,14-Jul-11,jonnie-annette,93,93,93,0.275,-2
24-Nov-09,saipan,mtr1,8543,melano,no,92,y,96,2.88,2.86,19-May-11,MC_JD,96,96,96,1.435,4
4-Aug,guam,nblas,218,eugenia,no,104,n,103,3.31,3.7,15-Jul-11,jd-ap-mg,103,103,103,1.7525,-1
9-Oct,guam,nblas,3994,morinda,no,101,y,104,1.93,2.79,15-Jul-11,jd-ap-mg,104,104,104,1.18,3
31-Aug-09,saipan,ladt,2373,premna,no,106,n,110,2.44,2.54,19-May-11,MC_JD,110,110,110,1.245,4
2-Nov-09,saipan,ladt,7277,aglaia,no,108,n,110,3.39,3.12,19-May-11,MC_JD,110,110,110,1.6275,2
missing,saipan,ladt,2836,melano,no,110,n,111,5.34,4.64,19-May-11,MC_JD,111,111,111,2.495,1
10-Nov-09,saipan,mtr1,7778,leucaena,no,110,y,114,1.56,1.67,19-May-11,MC_JD,114,114,114,0.8075,4
10-Nov-09,saipan,mtr1,7753,guamia,no,115,n,115,5.13,5.25,19-May-11,MC_JD,115,115,115,2.595,0
19-Nov-09,saipan,mtr1,8326,premna,no,112,n,118,6.91,4.65,19-May-11,MC_JD,118,118,118,2.89,6
10/30/09,saipan,ladt,7091,leucaena,no,118,y,118,2.16,4.07,19-May-11,MC_JD,118,118,118,1.5575,0
25-Aug-09,saipan,forbs,2236,guamia,no,120,n,122,5.92,7.34,29-Apr-11,MC_JD,122,122,122,3.315,2
10/23/09,saipan,forbs,2963,melano,no,115,n,124,4.46,5.5,29-Apr-11,MC_JD,124,124,124,2.49,9
10-Sep-09,saipan,ladt,2637,aidia,no,125,n,128,5.15,3.46,19-May-11,MC_JD,128,128,128,2.1525,3
17-Nov-10,saipan,mtr1,8058,psychotria,no,122,n,130,4.49,4.22,19-May-11,MC_JD,130,130,130,2.1775,8
missing,saipan,ladt,2635,guamia,no,138,n,134,4.42,4.99,19-May-11,MC_JD,134,134,134,2.3525,-4
12-Nov-09,saipan,mtr1,7908,neiso,no,130,n,138,3.74,3.57,19-May-11,MC_JD,138,138,138,1.8275,8
12-Nov-09,saipan,mtr1,7899,morinda,no,134,y,138,3.4,2.66,19-May-11,MC_JD,138,138,138,1.515,4
30-Oct-09,saipan,ladt,7160,morinda,no,135,n,139,2.78,3.79,19-May-11,MC_JD,139,139,139,1.6425,4
23-Oct-09,saipan,forbs,2902,papaya,no,130,n,143,2.91,2.62,29-Apr-11,MC_JD,143,143,143,1.3825,13
missing,saipan,ladt,2739,melano,no,143,n,148,4.95,4.86,19-May-11,MC_JD,148,148,148,2.4525,5
17-Nov-09,saipan,mtr1,8022,papaya,no,missing,n,148,2.14,2.02,19-May-11,MC_JD,148,148,148,1.04,#VALUE!
31-Jul,guam,nblas,159,aidia,no,148,n,150,4.36,5.21,15-Jul-11,jd-ap-mg,150,150,150,2.3925,2
24-Aug-09,guam,nblas,272,psychotria,no,150,n,160,2.4,3.66,15-Jul-11,jd-ap-mg,160,160,160,1.515,10
9-Sep-09,guam,anao,658,ifit,no,161,y,160,4.02,3.85,14-Jul-11,jonnie-annette,160,160,160,1.9675,-1
29-Sep-09,guam,sblas ,3163,guamia,no,158,n,161,3.99,4.32,14-Jul-11,jonnie-annette,161,161,161,2.0775,3
2-Oct-09,guam,sblas ,3587,cyno,no,150,n,164,2.41,2.8,14-Jul-11,jonnie-annette,164,164,164,1.3025,14
4-Aug,guam,nblas,240,cyno,no,165,y,166,4.8,5.42,15-Jul-11,jd-ap-mg,166,166,166,2.555,1
9-Sep-09,saipan,forbs,2264,leucaena,no,160,n,169,4.96,7.77,29-Apr-11,MC_JD,169,169,169,3.1825,9
22-Sep-09,guam,sblas ,812,morinda,no,168,y,170,3.87,5.4,14-Jul-11,jonnie-annette,170,170,170,2.3175,2
24-Sep-09,guam,sblas ,868,premna,no,170,n,177,4.74,3.75,14-Jul-11,jonnie-annette,177,177,177,2.1225,7
11/9/09,saipan,ladt,7655,cyno,no,178,n,178,6.45,9.71,19-May-11,MC_JD,178,178,178,4.04,0
24-Aug-09,guam,nblas,284,morinda,no,48,n,179,4.37,5.31,15-Jul-11,jd-ap-mg,179,179,179,2.42,131
27-Jul,guam,nblas,95,aglaia,no,181,n,183,4.14,4.34,15-Jul-11,jd-ap-mg,183,183,183,2.12,2
